Datetime,timestamp,zone_name,"Anthracite
coal",Bio Energy,"Bituminous
coal",Fuel Cell,Hydro Power,IGCC,LNG,Marine Energy,Nuclear,Oil,Others*,Pumped-Storage,Solar Power,Waste Energy,Wind Power
2019-10-31 16:00:00,1572537600,KR,574.7471888076537,856.332174104424,34860.12404684067,428.19324730280414,1720.4978528823283,331.7536564996311,37525.63656422444,244.74890877567077,23250.0,3706.3146162708035,1138.2989551147205,4502.186312326628,9104.90791264301,0.0,1425.1359551578535
2019-10-31 17:00:00,1572541200,KR,605.1181371353601,901.5827133285169,36702.21226709005,450.81995212424965,1811.4128715294332,349.28427405685767,39508.576526785546,257.6819976301099,23250.0,3902.1647080833527,1198.4492601888371,4740.092074226998,9586.03194966018,0.0,1500.4433795296866
2019-10-31 18:00:00,1572544800,KR,614.0146775545875,914.8379217880998,37241.813866961085,457.4479767689153,1838.0445436583836,354.41950546250985,40089.43772793984,261.47047820363247,23250.0,3959.534936998139,1216.0690465236794,4809.781640844276,9726.967273634908,0.0,1522.5031301032536
2019-10-31 19:00:00,1572548400,KR,679.2284578759578,1012.0017868259097,41197.22333365654,506.03299102993253,2033.2611035758375,392.06198636034816,44347.289992334074,289.24095169460116,23250.0,4380.072508810878,1345.2263167887104,5320.622920028345,0.0,0.0,1684.2064057653013
2019-10-31 20:00:00,1572552000,KR,653.990293231689,974.3987279139244,39666.4536885905,487.2302689193439,1957.711002719778,377.49409709159704,42699.47298264388,278.4935946366221,23250.0,4217.321684917407,1295.2415982845914,5122.923963648239,0.0,0.0,1621.6261677455923
2019-10-31 21:00:00,1572555600,KR,625.3644554808071,931.7482785439544,37930.21160794511,465.9036914918978,1872.0199487286757,360.97078644449033,40830.47248172008,266.3036393158273,23250.0,4032.7251128503144,1238.5475215919996,4898.688234599663,0.0,0.0,1550.64589777693
2019-10-31 22:00:00,1572559200,KR,597.0773850405866,889.6025682197834,36214.516770857685,444.8294995961377,1787.342990051079,344.6430179352189,38983.590329919636,254.25794382131406,23250.0,3850.313115600585,1182.5243807182558,4677.1061828179345,0.0,0.0,1480.5056310031637
2019-10-31 23:00:00,1572562800,KR,573.702440604955,854.7755740596897,34796.75696536026,427.41489790982087,1717.370413419291,331.1506104245633,37457.42424040786,244.30401580788373,23250.0,3699.5774532026053,1136.2298092177964,4494.002451405488,0.0,0.0,1422.545410555379
2019-11-01 00:00:00,1572566400,KR,563.2898077569914,839.2614963947847,34165.19985676919,419.65736701803695,1686.2003393299542,325.14026520083746,37124.28434874469,239.86992621745412,23250.0,3632.430550930093,1115.6073697841748,4412.436827429774,0.0,0.0,1396.726376119952
2019-11-01 01:00:00,1572570000,KR,503.4012537726454,750.0318374489483,30532.781183767394,375.0397074518783,1506.9247716563602,290.5715936985022,33177.2580103786,214.367133822367,23250.0,3246.233232697036,996.9968228319791,3943.309821219062,0.0,0.0,1248.2274652117217
2019-11-01 02:00:00,1572573600,KR,470.16732381513486,700.5156605128079,28517.044624383274,350.2800484813623,1407.4394566374906,271.38841542819216,30986.93635218671,200.21488001438897,23250.0,3031.9209180719286,931.1763221289292,3682.9773698852287,0.0,0.0,1165.821027327435
2019-11-01 03:00:00,1572577200,KR,457.00871195378534,680.9102706599195,27718.935732850478,340.47673173161473,1368.049331909208,263.7930453516226,30119.70239615135,194.6114495726514,23250.0,2947.066296037624,905.1154132211226,3579.9015769713246,0.0,0.0,1133.193097606753
2019-11-01 04:00:00,1572580800,KR,450.42940602311086,671.1075757334755,27319.88128708408,335.5750733567409,1348.3542695450662,259.995360313338,29686.085418133673,191.8097343517827,23250.0,2904.63898502047,892.0849587672195,3528.3636805143733,0.0,0.0,1116.8791327464126
2019-11-01 05:00:00,1572584400,KR,457.00871195378534,680.9102706599195,27718.935732850478,340.47673173161473,1368.049331909208,263.7930453516226,30119.70239615135,194.6114495726514,23250.0,2947.066296037624,905.1154132211226,3579.9015769713246,0.0,0.0,1133.193097606753
2019-11-01 06:00:00,1572588000,KR,482.14503461200434,718.3615923019755,29243.52835898365,359.2035803945942,1443.2945701722103,278.3021497286594,31776.34161985995,205.31543849340653,23250.0,3109.1603817185423,954.8984315193687,3776.802771127374,0.0,0.0,1195.5208095090818
2019-11-01 07:00:00,1572591600,KR,477.5871985730742,711.5707428286175,28967.082066080708,355.8079402728356,1429.6507502954455,275.67129080305466,31475.952017928437,203.37454096727717,23250.0,3079.768721074324,945.8715409112365,3741.099722155754,7565.739420641576,0.0,1184.2192561595664
2019-11-01 08:00:00,1572595200,KR,522.8242580219157,778.9707235893442,31710.844079379873,389.51006837547845,1565.0672693634294,301.78287546791995,34457.354193066625,222.6381774876976,23250.0,3371.4844143344844,1035.4644932663487,4095.456687838347,8282.366258564747,0.0,1296.388504103001
2019-11-01 09:00:00,1572598800,KR,566.8386942424105,844.5490832484295,34380.45036258986,422.30132815102326,1696.8238825106587,327.18874162832964,37358.177931038925,241.38117518324182,23250.0,3655.315899668696,1122.6360144767286,4440.236438232222,8979.624803571078,0.0,1405.5261507506666
2019-11-01 10:00:00,1572602400,KR,556.1407409943733,828.6098986090686,33731.58772430968,414.33123028891174,1664.7997057040404,321.01370471434115,36653.11660583732,236.8255854655749,23250.0,3586.3290803166306,1101.4484919603165,4356.435804455935,8810.152240548705,0.0,1378.999639412692
2019-11-01 11:00:00,1572606000,KR,543.9145087109029,810.3936875926557,32990.03042341799,405.22254701792684,1628.2006464964766,313.95651966978284,35847.33223417834,231.61919721681255,23250.0,3507.4870010571267,1077.2341805129886,4260.663651568744,8616.469311380275,0.0,1348.683626455007
2019-11-01 12:00:00,1572609600,KR,524.1997091538062,781.0200473286903,31794.269275730177,390.53479524346443,1569.1846635242798,302.5768087854328,34548.00493487828,223.2238961656833,23250.0,3380.3541482511787,1038.1886033041733,4106.231055038156,8304.155588096191,0.0,1299.7990555607403
2019-11-01 13:00:00,1572613200,KR,478.6569938978778,713.1646612925538,29031.96832990873,356.6049500590468,1432.8531679761077,276.28879449445355,31546.45815044861,203.83009993904383,23250.0,3086.667403009531,947.990293162878,3749.479785533384,7582.686676943815,0.0,1186.8719072933643
